START DATE,LOCATION,DURATION,Type,Beds,BEDS,AREA (SQFT),FLOOR
"17 Apr
2025","Al Zarooni Building A
Dubai Marina
Al Zarooni Building","38 months
NEW","180,000",Apartment,Studio,409,11
"17 Apr
2025","Al Zarooni Building A
Dubai Marina
Al Zarooni Building","38 months
NEW","180,000",Apartment,Studio,409,8
"17 Apr
2025","Marina Residence B
Dubai Marina
Marina Residence","12 months
NEW","40,000",Apartment,1,613,13
"17 Apr
2025","Skyview Tower
Dubai Marina","12 months
RENEWAL","95,000",Apartment,1,897,11
"17 Apr
2025","Mag 218 Tower
Dubai Marina","12 months
NEW","145,000",Apartment,2,"1,760",21
"17 Apr
2025","Al Zarooni Building A
Dubai Marina
Al Zarooni Building","38 months
NEW","180,000",Apartment,Studio,409,17
"17 Apr
2025","Al Zarooni Building A
Dubai Marina
Al Zarooni Building","38 months
NEW","180,000",Apartment,Studio,409,17
"17 Apr
2025","Al Zarooni Building A
Dubai Marina
Al Zarooni Building","38 months
NEW","180,000",Apartment,Studio,409,13
"17 Apr
2025","Studio One Tower
Dubai Marina","12 months
NEW","89,000",Apartment,Studio,357,11
"16 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","12 months
RENEWAL","120,000",Apartment,2,"1,161",29
"16 Apr
2025","Al Zarooni Building A
Dubai Marina
Al Zarooni Building","13 months
NEW","62,000",Apartment,Studio,409,9
"16 Apr
2025","The Torch
Dubai Marina","12 months
NEW","125,000",Apartment,2,"1,258",48
"16 Apr
2025","Attessa
Dubai Marina
Marina Promenade","12 months
RENEWAL","111,000",Apartment,1,"1,141",4
"16 Apr
2025","Marina View Tower B
Dubai Marina
Marina View Tower","12 months
NEW","120,000",Apartment,2,"1,918",1
"16 Apr
2025","DAMAC Heights
Dubai Marina","12 months
NEW","227,000",Apartment,2,"1,544",42
"16 Apr
2025","Marina Quays North
Dubai Marina
Marina Quays","12 months
NEW","130,000",Apartment,1,983,6
"16 Apr
2025","Marina Crown
Dubai Marina","12 months
NEW","70,000",Apartment,2,"1,411",5
"16 Apr
2025","Barcelo Residences
Dubai Marina","12 months
RENEWAL","135,000",Apartment,1,"1,095",34
"16 Apr
2025","Ariyana Tower
Dubai Marina","12 months
RENEWAL","170,000",Apartment,2,"1,700",27
"16 Apr
2025","Dream Tower 1
Dubai Marina
Dream Towers","12 months
NEW","70,000",Apartment,1,779,28
"16 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","12 months
RENEWAL","100,000",Apartment,1,650,24
"16 Apr
2025","Marina Gate 2
Dubai Marina
Marina Gate","12 months
NEW","155,000",Apartment,1,770,41
"16 Apr
2025","Marina Gate 1
Dubai Marina
Marina Gate","12 months
NEW","210,000",Apartment,2,"1,398",39
"16 Apr
2025","Marina Crown
Dubai Marina","12 months
RENEWAL","115,000",Apartment,2,"1,714",36
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","60,500",Apartment,Studio,670,1
"15 Apr
2025","Attessa
Dubai Marina
Marina Promenade","12 months
RENEWAL","130,000",Apartment,1,"1,031",25
"15 Apr
2025","Marina Pinnacle
Dubai Marina","12 months
NEW","127,500",Apartment,2,"1,219",25
"15 Apr
2025","Silverene Tower B
Dubai Marina
Silverene","12 months
RENEWAL","84,000",Apartment,Studio,542,7
"15 Apr
2025","Bonaire Tower
Dubai Marina
Park Island","12 months
RENEWAL","137,500",Apartment,2,"1,480",2
"15 Apr
2025","Stella Maris
Dubai Marina","12 months
NEW","140,000",Apartment,1,803,39
"15 Apr
2025","Stella Maris
Dubai Marina","12 months
RENEWAL","190,000",Apartment,1,"1,018",7
"15 Apr
2025","Princess Tower
Dubai Marina","12 months
NEW","88,000",Apartment,1,862,28
"15 Apr
2025","Zumurud Tower
Dubai Marina","12 months
NEW","125,000",Apartment,2,"1,594",23
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","73,500",Apartment,1,756,4
"15 Apr
2025","DAMAC Heights
Dubai Marina","12 months
NEW","140,000",Apartment,1,881,53
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","73,500",Apartment,1,724,12
"15 Apr
2025","Sparkle Tower 1
Dubai Marina
Sparkle Towers","12 months
NEW","270,000",Apartment,3,"1,878",28
"15 Apr
2025","Marina First Tower
Dubai Marina","12 months
NEW","105,000",Apartment,2,"1,191",3
"15 Apr
2025","Sulafa Tower
Dubai Marina","12 months
RENEWAL","110,000",Apartment,2,"1,372",22
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","73,500",Apartment,1,"1,009",7
"15 Apr
2025","La Riviera
Dubai Marina","12 months
NEW","118,000",Apartment,2,"1,185",11
"15 Apr
2025","Marina Opal Tower
Dubai Marina","12 months
NEW","125,000",Apartment,2,"1,889",2
"15 Apr
2025","Al Sahab Tower 2
Dubai Marina
Al Sahab Tower","12 months
RENEWAL","115,000",Apartment,1,945,38
"15 Apr
2025","Escan Marina Tower
Dubai Marina","12 months
RENEWAL","67,100",Apartment,1,837,8
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","73,500",Apartment,1,"1,009",9
"15 Apr
2025","Al Zarooni Building A
Dubai Marina
Al Zarooni Building","12 months
NEW","90,000",Apartment,1,861,11
"15 Apr
2025","Sulafa Tower
Dubai Marina","12 months
NEW","120,000",Apartment,2,"1,391",58
"15 Apr
2025","Marina Pinnacle
Dubai Marina","12 months
RENEWAL","160,000",Apartment,3,"1,579",61
"15 Apr
2025","Cayan Tower
Dubai Marina","12 months
RENEWAL","180,000",Apartment,2,"1,521",25
"15 Apr
2025","DAMAC Heights
Dubai Marina","12 months
NEW","208,000",Apartment,2,"1,510",9
"15 Apr
2025","Marina Heights Tower
Dubai Marina","12 months
NEW","90,000",Apartment,1,"1,008",28
"15 Apr
2025","Marina Quays North
Dubai Marina
Marina Quays","12 months
RENEWAL","205,000",Apartment,3,"1,942",2
"15 Apr
2025","JAM Marina Residence
Dubai Marina","12 months
RENEWAL","145,000",Apartment,2,"1,410",9
"15 Apr
2025","Princess Tower
Dubai Marina","36 months
NEW","405,000",Apartment,2,"1,189",13
"15 Apr
2025","Al Sahab Tower 2
Dubai Marina
Al Sahab Tower","10 months
RENEWAL","102,063",Apartment,2,"1,588",25
"15 Apr
2025","Beauport
Dubai Marina
Marina Promenade","12 months
NEW","110,000",Apartment,1,958,16
"15 Apr
2025","Marina Crown
Dubai Marina","2 months
RENEWAL","17,500",Apartment,1,754,7
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","73,500",Apartment,1,"1,009",15
"15 Apr
2025","Marina Diamond 3
Dubai Marina
Marina Diamonds","12 months
NEW","83,000",Apartment,1,683,1
"15 Apr
2025","Trident Marinascape Oceanic Tower
Dubai Marina
Trident Marinascape","12 months
NEW","175,000",Apartment,3,"2,449",14
"15 Apr
2025","Marina Pinnacle
Dubai Marina","12 months
RENEWAL","80,000",Apartment,1,931,30
"15 Apr
2025","Al Sahab Tower 2
Dubai Marina
Al Sahab Tower","12 months
NEW","318,000",Apartment,3,"2,471",42
"15 Apr
2025","DAMAC Heights
Dubai Marina","12 months
RENEWAL","125,000",Apartment,1,832,36
"15 Apr
2025","Zumurud Tower
Dubai Marina","12 months
RENEWAL","85,000",Apartment,1,866,7
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","73,500",Apartment,1,"1,009",8
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","73,500",Apartment,1,713,4
"15 Apr
2025","Dream Tower 1
Dubai Marina
Dream Towers","12 months
RENEWAL","88,388",Apartment,2,"1,522",14
"15 Apr
2025","The Torch
Dubai Marina","12 months
NEW","120,000",Apartment,2,"1,198",19
"15 Apr
2025","Al Murjan Tower
Dubai Marina
Dubai Marina Towers","12 months
RENEWAL","93,000",Apartment,1,"1,173",23
"15 Apr
2025","5242 Tower 1
Dubai Marina
5242 Towers","12 months
RENEWAL","175,000",Apartment,2,"1,120",21
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","73,500",Apartment,1,"1,009",14
"15 Apr
2025","Dorra Bay
Dubai Marina","12 months
NEW","125,000",Apartment,2,"1,382",6
"15 Apr
2025","Elite Residence
Dubai Marina","12 months
NEW","85,000",Apartment,1,737,25
"15 Apr
2025","DAMAC Heights
Dubai Marina","12 months
RENEWAL","200,000",Apartment,2,"1,871",14
"15 Apr
2025","DEC Tower 2
Dubai Marina
DEC Towers","12 months
NEW","130,000",Apartment,2,"1,491",23
"15 Apr
2025","5242 Tower 1
Dubai Marina
5242 Towers","12 months
RENEWAL","200,000",Apartment,2,"1,123",7
"15 Apr
2025","Marina Diamond 2
Dubai Marina
Marina Diamonds","36 months
NEW","180,000",Apartment,1,572,2
"15 Apr
2025","Al Yass Tower
Dubai Marina
Dubai Marina Towers","12 months
RENEWAL","228,000",Apartment,3,"2,514",8
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","73,500",Apartment,1,713,18
"15 Apr
2025","Elite Residence
Dubai Marina","12 months
RENEWAL","210,000",Apartment,3,"3,177",71
"15 Apr
2025","Al Zarooni Building A
Dubai Marina
Al Zarooni Building","12 months
NEW","85,000",Apartment,1,861,13
"15 Apr
2025","Marina Pinnacle
Dubai Marina","12 months
NEW","165,000",Apartment,3,"1,583",59
"15 Apr
2025","Marina Opal Tower
Dubai Marina","6 months
NEW","46,000",Apartment,1,"1,064",20
"15 Apr
2025","Fairfield Tower
Dubai Marina
Park Island","12 months
NEW","150,000",Apartment,2,"1,347",27
"15 Apr
2025","Dubai Marina Moon Tower
Dubai Marina","12 months
NEW","166,698",Apartment,1,739,24
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","73,500",Apartment,1,"1,009",11
"15 Apr
2025","Sulafa Tower
Dubai Marina","12 months
RENEWAL","66,000",Apartment,1,917,64
"15 Apr
2025","Sulafa Tower
Dubai Marina","12 months
RENEWAL","133,000",Apartment,3,"1,514",65
"15 Apr
2025","Jumeirah Living Marina Gate
Dubai Marina
Marina Gate","12 months
NEW","125,000",Apartment,Studio,609,33
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","73,500",Apartment,1,756,13
"15 Apr
2025","The Torch
Dubai Marina","12 months
RENEWAL","80,000",Apartment,1,978,13
"15 Apr
2025","Iris Blue
Dubai Marina","12 months
RENEWAL","185,000",Apartment,2,"1,326",17
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","73,500",Apartment,1,746,4
"15 Apr
2025","Sanibel Tower
Dubai Marina
Park Island","12 months
RENEWAL","135,000",Apartment,1,938,UG
"15 Apr
2025","Marina Pinnacle
Dubai Marina","12 months
NEW","72,000",Apartment,1,761,18
"15 Apr
2025","Marina Gate 2
Dubai Marina
Marina Gate","12 months
NEW","125,000",Apartment,1,762,58
"14 Apr
2025","Al Anbar Tower
Dubai Marina
Dubai Marina Towers","3 months
RENEWAL","25,700",Apartment,2,"1,554",7
"14 Apr
2025","Studio One Tower
Dubai Marina","12 months
NEW","118,236",Apartment,1,592,14
"14 Apr
2025","The Torch
Dubai Marina","12 months
RENEWAL","73,205",Apartment,1,978,16
"14 Apr
2025","JAM Marina Residence
Dubai Marina","12 months
RENEWAL","82,500",Apartment,1,710,16
"14 Apr
2025","Beauport
Dubai Marina
Marina Promenade","12 months
NEW","100,000",Apartment,Studio,"1,245",2
"14 Apr
2025","The Torch
Dubai Marina","12 months
RENEWAL","78,900",Apartment,1,978,25
"14 Apr
2025","Beauport
Dubai Marina
Marina Promenade","12 months
RENEWAL","199,000",Apartment,2,"1,405",16
"14 Apr
2025","Marina Crown
Dubai Marina","12 months
NEW","130,000",Apartment,2,"1,714",32
"14 Apr
2025","The Torch
Dubai Marina","12 months
NEW","160,000",Apartment,2,"1,258",66
"14 Apr
2025","Stella Maris
Dubai Marina","12 months
NEW","255,000",Apartment,2,"1,868",23
"14 Apr
2025","Marina Residence B
Dubai Marina
Marina Residence","12 months
RENEWAL","73,868",Apartment,1,723,1
"14 Apr
2025","Marina Diamond 5
Dubai Marina
Marina Diamonds","12 months
NEW","75,000",Apartment,1,769,13
"14 Apr
2025","Vida Residences Dubai Marina
Dubai Marina","12 months
NEW","140,000",Apartment,1,982,41
"14 Apr
2025","Sulafa Tower
Dubai Marina","12 months
RENEWAL","69,000",Apartment,1,916,48
"14 Apr
2025","Ocean Heights
Dubai Marina","12 months
NEW","130,000",Apartment,2,"1,486",34
"13 Apr
2025","Sulafa Tower
Dubai Marina","12 months
RENEWAL","68,000",Apartment,1,974,19
"13 Apr
2025","Marina View Tower A
Dubai Marina
Marina View Tower","12 months
RENEWAL","80,000",Apartment,1,750,5
"13 Apr
2025","Sulafa Tower
Dubai Marina","12 months
RENEWAL","66,000",Apartment,1,916,59
"13 Apr
2025","Al Anbar Tower
Dubai Marina
Dubai Marina Towers","12 months
RENEWAL","241,000",Apartment,3,"4,274",15
"13 Apr
2025","DAMAC Heights
Dubai Marina","12 months
RENEWAL","95,000",Apartment,1,951,34
"13 Apr
2025","Marina View Tower B
Dubai Marina
Marina View Tower","12 months
RENEWAL","64,000",Apartment,Studio,415,7
"13 Apr
2025","JW Marriott Hotel Marina
Dubai Marina","12 months
NEW","113,000",Apartment,Studio,546,27
"13 Apr
2025","Dusit Princess Residence
Dubai Marina","12 months
RENEWAL","120,000",Apartment,2,"1,331",27
"12 Apr
2025","Marina Pinnacle
Dubai Marina","12 months
RENEWAL","90,000",Apartment,1,762,5
"12 Apr
2025","Dream Tower 1
Dubai Marina
Dream Towers","12 months
RENEWAL","85,000",Apartment,2,"1,215",7
"12 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","12 months
NEW","85,000",Apartment,1,638,3
"12 Apr
2025","DAMAC Heights
Dubai Marina","12 months
NEW","120,000",Apartment,1,960,60
"12 Apr
2025","Sanibel Tower
Dubai Marina
Park Island","12 months
NEW","115,000",Apartment,1,909,15
"12 Apr
2025","Stella Maris
Dubai Marina","12 months
NEW","128,000",Apartment,1,740,36
"12 Apr
2025","Al Majara 2
Dubai Marina
Al Majara","12 months
RENEWAL","140,000",Apartment,2,"1,303",12
"12 Apr
2025","Vida Residences Dubai Marina
Dubai Marina","6 months
RENEWAL","100,000",Apartment,2,"1,154",46
"12 Apr
2025","Marina Pinnacle
Dubai Marina","24 months
NEW","350,000",Apartment,3,"1,711",54
"12 Apr
2025","Yacht Bay
Dubai Marina","12 months
NEW","130,000",Apartment,2,"1,382",13
"12 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","12 months
RENEWAL","115,000",Apartment,1,651,11
"12 Apr
2025","Silverene Tower B
Dubai Marina
Silverene","12 months
RENEWAL","86,625",Apartment,1,610,22
"12 Apr
2025","JAM Marina Residence
Dubai Marina","12 months
RENEWAL","78,540",Apartment,1,764,26
"12 Apr
2025","Marina Diamond 4
Dubai Marina
Marina Diamonds","12 months
RENEWAL","55,000",Apartment,1,674,13
"11 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","12 months
NEW","74,500",Apartment,Studio,446,9
"11 Apr
2025","Marina Heights Tower
Dubai Marina","12 months
RENEWAL","126,000",Apartment,2,"1,283",21
"11 Apr
2025","West Avenue
Dubai Marina","12 months
NEW","130,000",Apartment,2,"1,243",25
"11 Apr
2025","Sulafa Tower
Dubai Marina","12 months
NEW","75,000",Apartment,1,916,15
"11 Apr
2025","The Torch
Dubai Marina","12 months
NEW","165,000",Apartment,3,"1,717",76
"11 Apr
2025","Marina Quays West
Dubai Marina
Marina Quays","12 months
NEW","81,000",Apartment,1,762,12
"11 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","12 months
RENEWAL","84,893",Apartment,1,638,21
"11 Apr
2025","Elite Residence
Dubai Marina","12 months
NEW","87,000",Apartment,1,802,17
"11 Apr
2025","Stella Maris
Dubai Marina","12 months
NEW","230,000",Apartment,2,"1,383",38
"11 Apr
2025","Trident Marinascape Oceanic Tower
Dubai Marina
Trident Marinascape","12 months
NEW","180,000",Apartment,2,"1,862",4
"11 Apr
2025","The Zen
Dubai Marina","12 months
RENEWAL","155,000",Apartment,3,"1,764",7
"11 Apr
2025","Yacht Bay
Dubai Marina","12 months
NEW","160,000",Apartment,2,"1,168",15
"11 Apr
2025","The Torch
Dubai Marina","12 months
NEW","140,000",Apartment,2,"1,258",59
"11 Apr
2025","Marina View Tower B
Dubai Marina
Marina View Tower","12 months
NEW","78,000",Apartment,Studio,425,9
"11 Apr
2025","Marina View Tower B
Dubai Marina
Marina View Tower","12 months
NEW","140,000",Apartment,2,"2,027",1
"11 Apr
2025","Stella Maris
Dubai Marina","12 months
NEW","260,000",Apartment,2,"1,470",39
"11 Apr
2025","DAMAC Heights
Dubai Marina","12 months
NEW","115,000",Apartment,1,880,34
"11 Apr
2025","Sulafa Tower
Dubai Marina","12 months
RENEWAL","72,000",Apartment,1,970,13
"10 Apr
2025","Mag 218 Tower
Dubai Marina","6 months
RENEWAL","45,000",Apartment,1,875,11
"10 Apr
2025","Ariyana Tower
Dubai Marina","12 months
RENEWAL","150,000",Apartment,2,"1,700",11
"10 Apr
2025","DEC Tower 3
Dubai Marina
DEC Towers","12 months
RENEWAL","49,600",Apartment,Studio,521,P3
"10 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","12 months
RENEWAL","76,500",Apartment,Studio,448,2
"10 Apr
2025","Sulafa Tower
Dubai Marina","12 months
NEW","120,000",Apartment,2,"1,384",39
"10 Apr
2025","Princess Tower
Dubai Marina","12 months
NEW","195,000",Apartment,3,"2,014",20
"10 Apr
2025","Al Mass Tower
Dubai Marina
Dubai Marina Towers","12 months
NEW","190,000",Apartment,2,"1,545",5
"10 Apr
2025","Marina Crown
Dubai Marina","12 months
RENEWAL","107,640",Apartment,2,"1,473",8
"10 Apr
2025","Silverene Tower A
Dubai Marina
Silverene","12 months
RENEWAL","172,000",Apartment,2,"1,067",13
"10 Apr
2025","Marina Diamond 6
Dubai Marina
Marina Diamonds","12 months
RENEWAL","82,500",Apartment,2,"1,084",12
"10 Apr
2025","Marina Heights Tower
Dubai Marina","12 months
NEW","87,000",Apartment,1,746,8
"10 Apr
2025","Durrat Al Marsa
Dubai Marina","12 months
NEW","68,000",Apartment,1,807,3
"10 Apr
2025","JAM Marina Residence
Dubai Marina","12 months
RENEWAL","117,637",Apartment,2,"1,410",27
"10 Apr
2025","Stella Maris
Dubai Marina","12 months
NEW","130,000",Apartment,1,740,43
"10 Apr
2025","Silverene Tower B
Dubai Marina
Silverene","12 months
NEW","115,000",Apartment,1,832,14
"10 Apr
2025","Al Fairooz Tower
Dubai Marina
Dubai Marina Towers","12 months
NEW","185,000",Apartment,2,"1,986",Ground
"10 Apr
2025","Princess Tower
Dubai Marina","12 months
NEW","85,000",Apartment,1,923,33
"10 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","12 months
NEW","80,000",Apartment,Studio,446,7
"10 Apr
2025","Mag 218 Tower
Dubai Marina","12 months
RENEWAL","113,391",Apartment,2,"1,779",41
"10 Apr
2025","Marina Quays East
Dubai Marina
Marina Quays","12 months
RENEWAL","185,000",Apartment,2,"1,303",3
"10 Apr
2025","Time Place
Dubai Marina","12 months
RENEWAL","71,500",Apartment,1,692,30
"10 Apr
2025","Al Seef Tower
Dubai Marina","1 months
RENEWAL","15,000",Apartment,2,"2,067",4
"10 Apr
2025","Sulafa Tower
Dubai Marina","12 months
RENEWAL","65,000",Apartment,1,967,10
"10 Apr
2025","Marina View Tower A
Dubai Marina
Marina View Tower","12 months
RENEWAL","70,000",Apartment,Studio,402,16
"10 Apr
2025","Marina Pinnacle
Dubai Marina","12 months
NEW","110,000",Apartment,2,"1,219",38
"10 Apr
2025","Manchester Tower
Dubai Marina","12 months
RENEWAL","68,000",Apartment,1,573,11
"10 Apr
2025","Stella Maris
Dubai Marina","36 months
RENEWAL","120,000",Apartment,1,906,P1
"10 Apr
2025","West Avenue
Dubai Marina","12 months
RENEWAL","125,000",Apartment,1,789,20
"10 Apr
2025","Marina Heights Tower
Dubai Marina","12 months
RENEWAL","90,000",Apartment,1,"1,008",8
"10 Apr
2025","Marina Pinnacle
Dubai Marina","12 months
NEW","70,000",Apartment,1,761,23
"10 Apr
2025","Durrat Al Marsa
Dubai Marina","12 months
NEW","70,000",Apartment,1,807,5
"10 Apr
2025","Marina Diamond 2
Dubai Marina
Marina Diamonds","12 months
NEW","90,000",Apartment,1,572,15
"10 Apr
2025","Silverene Tower B
Dubai Marina
Silverene","12 months
NEW","130,000",Apartment,1,817,24
"10 Apr
2025","Westside Marina
Dubai Marina","12 months
NEW","92,500",Apartment,1,937,1
"10 Apr
2025","Sulafa Tower
Dubai Marina","12 months
RENEWAL","137,500",Apartment,2,"1,378",27
"10 Apr
2025","JW Marriott Hotel Marina
Dubai Marina","12 months
NEW","260,000",Apartment,2,"1,910",23
"10 Apr
2025","Marina Heights Tower
Dubai Marina","12 months
NEW","130,000",Apartment,2,"1,431",21
"10 Apr
2025","Dream Tower 1
Dubai Marina
Dream Towers","12 months
RENEWAL","75,000",Apartment,1,779,12
"10 Apr
2025","Marina Diamond 4
Dubai Marina
Marina Diamonds","12 months
RENEWAL","75,000",Apartment,2,674,19
"10 Apr
2025","Yacht Bay
Dubai Marina","12 months
NEW","60,000",Apartment,Studio,461,1
