DATE,LOCATION,PRICE (AED),Type,Beds,BUILT-UP AREA,FLOOR
"14 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,450,000",Apartment,1,805,9
"14 Apr
2025","Jumeirah Living Marina Gate
Dubai Marina
Marina Gate","5,580,000
Vacant at time of sale",Apartment,2,"1,516",55
"14 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,584,000",Apartment,Studio,396,35
"14 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,027,000",Apartment,1,603,19
"14 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,484,000",Apartment,Studio,396,37
"14 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,479,360",Apartment,Studio,435,29
"14 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,347,100",Apartment,1,603,28
"14 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,576,250",Apartment,Studio,396,35
"14 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,480,000",Apartment,Studio,396,28
"14 Apr
2025","Vanguard by Frank Muller
Dubai Marina","2,655,690",Apartment,1,"1,010",14
"14 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,450,000",Apartment,Studio,435,18
"14 Apr
2025","Ocean Heights
Dubai Marina","2,350,000
Vacant at time of sale",Apartment,2,"1,493",12
"14 Apr
2025","Horizon Tower
Dubai Marina","2,460,000
Vacant at time of sale",Apartment,4,"2,409",7
"14 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,304,000",Apartment,Studio,396,16
"14 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,092,300",Apartment,1,603,20
"14 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,660,000",Apartment,Studio,396,37
"14 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,180,000",Apartment,1,604,20
"14 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,320,000",Apartment,1,603,34
"14 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,440,200",Apartment,1,604,36
"14 Apr
2025","Barcelo Residences
Dubai Marina","1,400,000
Vacant at time of sale",Apartment,1,"1,095",34
"14 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,393,000",Apartment,1,603,27
"14 Apr
2025","Marina Opal Tower
Dubai Marina","2,125,000
Vacant at time of sale",Apartment,2,"1,536",26
"13 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,490,000",Apartment,Studio,445,16
"13 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,150,000",Apartment,1,604,15
"13 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,192,000",Apartment,1,604,17
"13 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,346,000",Apartment,Studio,435,12
"13 Apr
2025","Vanguard by Frank Muller
Dubai Marina","2,014,888",Apartment,1,779,17
"13 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,298,650",Apartment,Studio,435,14
"13 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,130,000",Apartment,1,604,15
"11 Apr
2025","Marina Heights Tower
Dubai Marina","1,490,000
Rented at time of sale",Apartment,1,"1,008",27
"11 Apr
2025","Jumeirah Living Marina Gate
Dubai Marina
Marina Gate","3,475,000
Vacant at time of sale",Apartment,1,977,22
"11 Apr
2025","Sparkle Tower 2
Dubai Marina
Sparkle Towers","1,050,000
Vacant at time of sale",Apartment,Studio,473,5
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,198,800",Apartment,1,604,31
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,248,000",Apartment,1,604,29
"11 Apr
2025","Aurora
Dubai Marina
Marina Promenade","3,525,000
Vacant at time of sale",Apartment,2,"1,898",26
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,300,000",Apartment,Studio,396,11
"11 Apr
2025","Dorra Bay
Dubai Marina","2,000,000
Vacant at time of sale",Apartment,2,"1,357",6
"11 Apr
2025","Al Murjan Tower
Dubai Marina
Dubai Marina Towers","2,000,000
Vacant at time of sale",Apartment,1,"1,188",11
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,251,000",Apartment,Studio,396,14
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,420,000",Apartment,1,603,32
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,330,000",Apartment,Studio,396,12
"11 Apr
2025","Aeternitas Tower
Dubai Marina","3,500,000",Apartment,2,"1,657",47
"11 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","1,740,000
Vacant at time of sale",Apartment,1,693,9
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,443,000",Apartment,Studio,445,11
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,010,000",Apartment,1,603,15
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,850,000",Apartment,1,604,11
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,101,280",Apartment,1,604,29
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,508,800",Apartment,Studio,435,31
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,310,000",Apartment,Studio,395,11
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,577,000",Apartment,Studio,395,33
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,477,000",Apartment,Studio,435,16
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,190,000",Apartment,1,604,17
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,300,000",Apartment,Studio,396,11
"11 Apr
2025","Pelagos by IGO
Dubai Marina","3,574,272",Apartment,2,"1,526",28
"11 Apr
2025","Marina Shores
Dubai Marina","1,768,755",Apartment,1,767,6
"11 Apr
2025","Pelagos by IGO
Dubai Marina","2,073,909",Apartment,1,762,18
"11 Apr
2025","Marina 101
Dubai Marina","960,000",Apartment,1,989,52
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,234,400",Apartment,1,603,30
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,500,000",Apartment,1,805,14
"11 Apr
2025","Time Place
Dubai Marina","1,690,000
Rented at time of sale",Apartment,2,"1,161",27
"11 Apr
2025","Trident Bayside
Dubai Marina","1,650,000
Rented at time of sale",Apartment,1,884,14
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,484,880",Apartment,Studio,435,30
"11 Apr
2025","Marina Diamond 2
Dubai Marina
Marina Diamonds","712,000
Vacant at time of sale",Apartment,Studio,401,7
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,527,600",Apartment,Studio,435,29
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,316,940",Apartment,Studio,435,17
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,634,000",Apartment,Studio,435,33
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,326,000",Apartment,Studio,435,13
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,346,000",Apartment,Studio,445,13
"11 Apr
2025","Pelagos by IGO
Dubai Marina","1,298,568",Apartment,Studio,381,11
"11 Apr
2025","Marina Opal Tower
Dubai Marina","1,650,000",Apartment,1,"1,064",20
"11 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","1,520,000
Vacant at time of sale",Apartment,1,708,4
"11 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,111,400",Apartment,1,604,30
"10 Apr
2025","Cayan Tower
Dubai Marina","2,035,000
Rented at time of sale",Apartment,1,762,9
"10 Apr
2025","Vida Residences Dubai Marina
Dubai Marina","6,650,000
Vacant at time of sale",Apartment,2,"1,870",4
"10 Apr
2025","JW Marriott Hotel Marina
Dubai Marina","2,200,000
Vacant at time of sale",Apartment,1,767,31
"10 Apr
2025","Al Mass Tower
Dubai Marina
Dubai Marina Towers","4,200,000
Vacant at time of sale",Apartment,3,"2,498",14
"10 Apr
2025","No. 9
Dubai Marina","2,800,000
Vacant at time of sale",Apartment,2,"1,343",31
"10 Apr
2025","Pelagos by IGO
Dubai Marina","3,489,824",Apartment,2,"1,526",22
"10 Apr
2025","Sparkle Tower 1
Dubai Marina
Sparkle Towers","2,860,000
Vacant at time of sale",Apartment,2,"1,498",1
"10 Apr
2025","Marina Gate 2
Dubai Marina
Marina Gate","2,350,000
Vacant at time of sale",Apartment,1,762,59
"10 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","1,870,000
Vacant at time of sale",Apartment,1,708,26
"10 Apr
2025","Marina Tower
Dubai Marina","2,700,000
Vacant at time of sale",Apartment,1,"1,120",32
"10 Apr
2025","Princess Tower
Dubai Marina","2,350,000
Rented at time of sale",Apartment,2,"1,181",63
"10 Apr
2025","Panoramic
Dubai Marina","2,500,000
Vacant at time of sale",Apartment,2,"1,086",2
"10 Apr
2025","DAMAC Heights
Dubai Marina","2,050,000",Apartment,2,"1,351",60
"10 Apr
2025","The Residences Al Habtoor Grand
Dubai Marina","14,397,851",Apartment,3,"3,223",35
"10 Apr
2025","Sanibel Tower
Dubai Marina
Park Island","1,500,000
Vacant at time of sale",Apartment,1,726,1
"9 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,487,000",Apartment,Studio,435,22
"9 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","1,850,000
Rented at time of sale",Apartment,1,651,26
"9 Apr
2025","5242 Tower 1
Dubai Marina
5242 Towers","1,900,000
Rented at time of sale",Apartment,1,689,4
"9 Apr
2025","Aurora
Dubai Marina
Marina Promenade","1,775,000
Vacant at time of sale",Apartment,Studio,"1,241",2
"9 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,328,000",Apartment,1,604,36
"9 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","1,620,000
Vacant at time of sale",Apartment,1,693,8
"9 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,341,000",Apartment,1,604,34
"9 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,320,000",Apartment,Studio,396,11
"9 Apr
2025","DAMAC Heights
Dubai Marina","2,736,250
Rented at time of sale",Apartment,2,"1,413",45
"9 Apr
2025","Marina Gate 1
Dubai Marina
Marina Gate","5,000,000
Rented at time of sale",Apartment,2,"1,471",15
"9 Apr
2025","Pelagos by IGO
Dubai Marina","1,960,998",Apartment,1,759,11
"9 Apr
2025","Attessa
Dubai Marina
Marina Promenade","2,100,000
Vacant at time of sale",Apartment,1,"1,141",5
"9 Apr
2025","Orra Marina
Dubai Marina","1,600,000
Vacant at time of sale",Apartment,1,908,7
"9 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,145,000",Apartment,1,604,20
"9 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,911,000",Apartment,1,604,10
"9 Apr
2025","Time Place
Dubai Marina","1,200,000
Rented at time of sale",Apartment,1,869,11
"9 Apr
2025","Marina Quays North
Dubai Marina
Marina Quays","2,388,890
Vacant at time of sale",Apartment,2,"1,481",6
"9 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,465,000",Apartment,Studio,435,22
"9 Apr
2025","DEC Tower 1
Dubai Marina
DEC Towers","1,250,000
Vacant at time of sale",Apartment,1,823,18
"9 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,379,000",Apartment,Studio,435,17
"9 Apr
2025","Al Mesk Tower
Dubai Marina
Dubai Marina Towers","4,800,000
Vacant at time of sale",Apartment,2,"1,715",8
"8 Apr
2025","Al Majara 5
Dubai Marina
Al Majara","2,150,000
Vacant at time of sale",Apartment,1,"1,151",M
"8 Apr
2025","Marina View Tower B
Dubai Marina
Marina View Tower","1,600,000
Vacant at time of sale",Apartment,2,"1,030",10
"8 Apr
2025","Marina Shores
Dubai Marina","1,730,000",Apartment,1,751,7
"8 Apr
2025","5242 Tower 1
Dubai Marina
5242 Towers","2,300,000
Rented at time of sale",Apartment,1,681,24
"8 Apr
2025","Horizon Tower
Dubai Marina","3,475,000
Vacant at time of sale",Apartment,4,"2,451",5
"8 Apr
2025","DEC Tower 1
Dubai Marina
DEC Towers","1,150,000
Vacant at time of sale",Apartment,1,823,18
"8 Apr
2025","Cavalli Tower
Dubai Marina","3,733,065",Apartment,3,"1,684",27
"8 Apr
2025","Horizon Tower
Dubai Marina","3,100,000
Vacant at time of sale",Apartment,4,"2,409",27
"8 Apr
2025","Paloma
Dubai Marina
Marina Promenade","2,300,000
Vacant at time of sale",Apartment,1,891,7
"8 Apr
2025","JW Marriott Hotel Marina
Dubai Marina","1,750,000
Vacant at time of sale",Apartment,1,848,31
"8 Apr
2025","JW Marriott Hotel Marina
Dubai Marina","1,625,000
Vacant at time of sale",Apartment,Studio,546,26
"8 Apr
2025","Sanibel Tower
Dubai Marina
Park Island","2,175,000
Vacant at time of sale",Apartment,1,"1,052",11
"8 Apr
2025","Marina Pearl
Dubai Marina","930,000
Vacant at time of sale",Apartment,1,902,3
"8 Apr
2025","Marina Arcade Tower
Dubai Marina","2,550,000
Vacant at time of sale",Apartment,2,"1,599",25
"7 Apr
2025","Sulafa Tower
Dubai Marina","1,050,000
Vacant at time of sale",Apartment,1,918,31
"7 Apr
2025","Vanguard by Frank Muller
Dubai Marina","2,218,888",Apartment,1,931,22
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,640,000",Apartment,Studio,435,35
"7 Apr
2025","Marina Diamond 4
Dubai Marina
Marina Diamonds","925,000
Vacant at time of sale",Apartment,1,754,12
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,140,000",Apartment,1,604,12
"7 Apr
2025","Vanguard by Frank Muller
Dubai Marina","1,384,888",Apartment,Studio,531,4
"7 Apr
2025","Aeternitas Tower
Dubai Marina","3,686,000",Apartment,2,"1,662",64
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,486,000",Apartment,Studio,396,29
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,597,000",Apartment,Studio,396,34
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,100,000",Apartment,1,604,8
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,338,000",Apartment,Studio,396,19
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,695,000",Apartment,Studio,435,27
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,650,000",Apartment,Studio,435,31
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,446,000",Apartment,Studio,445,15
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,318,000",Apartment,1,604,32
"7 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","1,525,000
Vacant at time of sale",Apartment,1,696,17
"7 Apr
2025","Marina Shores
Dubai Marina","3,500,000",Apartment,2,"1,136",5
"7 Apr
2025","Time Place
Dubai Marina","1,050,000
Rented at time of sale",Apartment,1,815,18
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,350,900",Apartment,Studio,435,17
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,270,000",Apartment,Studio,396,9
"7 Apr
2025","Marina Residence A
Dubai Marina
Marina Residence","1,650,000
Rented at time of sale",Apartment,2,"1,071",5
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,322,000",Apartment,Studio,396,14
"7 Apr
2025","Botanica Tower
Dubai Marina","1,960,000",Apartment,2,"1,207",18
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,565,000",Apartment,Studio,445,26
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,090,000",Apartment,1,604,11
"7 Apr
2025","The Point
Dubai Marina","4,300,000
Vacant at time of sale",Apartment,3,"2,207",27
"7 Apr
2025","Six Senses Residences Dubai Marina
Dubai Marina","17,386,000",Apartment,4,"5,209",65
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,620,000",Apartment,1,805,23
"7 Apr
2025","LIV Lux
Dubai Marina","2,919,548",Apartment,1,846,27
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,705,000",Apartment,1,805,26
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,326,000",Apartment,Studio,396,8
"7 Apr
2025","Marina Crown
Dubai Marina","2,200,000
Vacant at time of sale",Apartment,2,"1,494",10
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,610,000",Apartment,Studio,396,33
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,330,000",Apartment,1,604,33
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,279,650",Apartment,Studio,435,10
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,080,000",Apartment,1,603,8
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,260,650",Apartment,Studio,435,10
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,305,000",Apartment,1,604,34
"7 Apr
2025","Panoramic
Dubai Marina","1,100,000
Vacant at time of sale",Apartment,1,596,7
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,204,000",Apartment,Studio,395,10
"7 Apr
2025","Marina Pinnacle
Dubai Marina","1,500,000
Vacant at time of sale",Apartment,2,"1,219",22
"7 Apr
2025","Marina Arcade Tower
Dubai Marina","4,500,000
Vacant at time of sale",Apartment,3,"3,338",45
"7 Apr
2025","Vanguard by Frank Muller
Dubai Marina","1,342,490",Apartment,Studio,456,27
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,453,000",Apartment,1,604,28
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,289,150",Apartment,Studio,435,11
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,209,000",Apartment,1,603,32
"7 Apr
2025","La Riviera
Dubai Marina","1,480,000
Vacant at time of sale",Apartment,2,982,10
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,550,000",Apartment,Studio,396,26
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,389,000",Apartment,Studio,396,24
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,261,000",Apartment,Studio,396,15
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,534,000",Apartment,Studio,396,37
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,095,000",Apartment,1,604,19
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,425,000",Apartment,1,805,10
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,322,820",Apartment,Studio,395,14
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,334,320",Apartment,Studio,396,14
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,558,200",Apartment,Studio,395,31
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,550,000",Apartment,Studio,445,19
"7 Apr
2025","Marina 101
Dubai Marina","1,300,000",Apartment,1,989,45
"7 Apr
2025","DEC Tower 1
Dubai Marina
DEC Towers","1,100,000
Vacant at time of sale",Apartment,1,823,16
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","1,324,000",Apartment,Studio,395,9
"7 Apr
2025","Rove Home Dubai Marina
Dubai Marina","2,146,000",Apartment,1,604,18
"7 Apr
2025","DEC Tower 1
Dubai Marina
DEC Towers","1,450,000
Vacant at time of sale",Apartment,2,"1,491",15
"6 Apr
2025","Vanguard by Frank Muller
Dubai Marina","1,225,870",Apartment,Studio,457,3
"6 Apr
2025","Vanguard by Frank Muller
Dubai Marina","1,265,888",Apartment,Studio,461,5
"6 Apr
2025","Vanguard by Frank Muller
Dubai Marina","1,501,332",Apartment,Studio,638,8
"4 Apr
2025","Al Sahab Tower 2
Dubai Marina
Al Sahab Tower","2,470,000
Vacant at time of sale",Apartment,2,"1,351",18
"4 Apr
2025","Aeternitas Tower
Dubai Marina","3,430,000",Apartment,2,"1,610",50
"4 Apr
2025","Marina Star
Dubai Marina","1,693,907
Vacant at time of sale",Apartment,Studio,504,2
